,titulo,descricao,paginas,idioma,editora,autor,genero,imgLink,isbn13,isbn10,amazonLink
10,Introdução à Inteligência Artificial: uma Abordagem Não Técnica,"A inteligência artificial envolve praticamente todas as partes do seu dia. Embora seja inicialmente possível assumir que tecnologias como alto-falantes inteligentes e assistentes digitais sejam sua extensão, a IA tornou-se rapidamente uma tecnologia de uso geral, repercutindo em diversos setores – como transportes, saúde, serviços financeiros e muito mais. Na era moderna, a compreensão da IA e suas possibilidades para uma empresa é essencial para que se alcancem crescimento e sucesso.
O livro Introdução à Inteligência Artificial chega para equipar os leitores com uma compreensão fundamental e oportuna da IA e seu impacto. O autor Tom Taulli oferece uma introdução atraente e não técnica a conceitos importantes, como machine learning (aprendizagem de máquina), deep learning (aprendizagem profunda), natural language processing (PNL – processamento da linguagem natural), robótica e muito mais. Além de guiá-lo por estudos de caso do mundo real e etapas práticas de implementação, Taulli usa sua experiência para expandir as questões mais amplas que cercam a IA. Isso inclui tendências sociais, ética e impacto futuro que a IA causará nos governos, estruturas de empresas e vida cotidiana do mundo.",232 páginas,Português,Novatec Editora; 1ª edição (6 janeiro 2020),Tom Taulli,Tecnologia,https://m.media-amazon.com/images/I/71O8iZes6lL._SY385_.jpg,978-8575228197,8575228196,https://www.amazon.com.br/Introdu%C3%A7%C3%A3o-Intelig%C3%AAncia-Artificial-Abordagem-T%C3%A9cnica/dp/8575228196/ref=sr_1_9?keywords=inteligencia+artificial&sr=8-9
11,Inteligência Artificial - Uma Abordagem de Aprendizado de Máquina,"Inteligência Artificial sob novos olhares. Com abordagem equilibrada de tópicos básicos e avançados desenvolvidos por renomados pesquisadores da área, esta nova edição traz exemplos de implemen­tações dos métodos abordados e exercícios teóricos e práticos.Vencedor do Prêmio Jabuti 2012 (Categoria Tecnologia e Informática) quando foi lançado, Inteligência Artificial – Uma Abordagem de Aprendizado de Máquina aborda os principais conceitos e algoritmos de aprendizado de máquina e aponta caminhos para transformar esse conhecimento em aplicações práticas, como:auxílio ao diagnóstico de doenças e descoberta de tratamentos mais eficazes;monitoramento da qualidade da água;prevenção de incêndios florestais;detecção e localização de falhas em linhas de transmissão de energia;reconhecimento de imagens para prover segurança em eventos;bloqueio de mensagens fraudulentas que impõem riscos aos usuários, entre outras.Por que ter Inteligência Artificial?Há algum tempo, a área de inteligência artificial deixou de ser vista apenas como teórica – destinada à aplicação em pequenos problemas “curiosos” – para se tornar um campo de pesquisa crescente, em busca de soluções de problemas reais da sociedade.Katti Faceli, Ana Carolina Lorena, João Gama, Tiago Agostinho Almeida e André Carlos Ponce Carvalho preenchem, com sucesso, a lacuna de livros abrangentes e atualizados voltados ao público nacional.",304 páginas,Português,LTC; 2ª edição (12 março 2021),André Carlos Ponce de Leon Ferreira et al. CARVALHO,Tecnologia,https://m.media-amazon.com/images/I/81FYVwJNC2L._SY385_.jpg,978-8521637349,8521637349,https://www.amazon.com.br/Intelig%C3%AAncia-Artificial-Abordagem-Aprendizado-M%C3%A1quina/dp/8521637349/ref=sr_1_5?keywords=inteligencia+artificial&sr=8-5&ufe=app_do%3Aamzn1.fos.6121c6c4-c969-43ae-92f7-cc248fc6181d
12,Linguagem de Programacao Cobol Para Mainframe,Este livro é destinado a pessoas interessadas em ingressar num dos ramos da informática que mais cresce nos últimos anos. Estudantes de informática de qualquer nível que desejam conhecer esta linguagem encontrarão neste livro uma forma didática seqüencial e com estruturas que podem ser utilizadas como referência para a construção de qualquer tipo e complexidade de programa na linguagem COBOL no ambiente Mainframe. Profissionais que já atuam no ambiente Mainframe em sistemas construídos em outras linguagens que interagem com o Mainframe através da linguagem COBOL também encontram neste livro um embasamento que irá ajudar a entender e a construir melhores estruturas de programas.,216 páginas,Português,Ciencia Moderna (1 janeiro 2008),Wojciechowski,Tecnologia,https://m.media-amazon.com/images/I/51NS0KvABvL._SY385_.jpg,978-8573936421,8573936428,https://www.amazon.com.br/Linguagem-Programa%C3%A7%C3%A3o-Cobol-Para-Mainframe/dp/8573936428/ref=sr_1_1?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=cobol&sr=8-1
13,Inteligência artificial,"Um dos criadores da Inteligência Artificial como a conhecemos hoje mostra como a revolução das máquinas nos tornará ainda mais humanos

Kai-Fu Lee já foi presidente da Google China e é considerado um dos maiores especialistas em inovação tecnológica no mundo. Em Inteligência artificial, ele explica tanto para leitores leigos quanto para aqueles que já dominam o assunto, como o desenvolvimento sem precedentes da IA já está alterando as nossas vidas e expõe quais são as mudanças que podemos esperar nos próximos anos.

Apesar de muitos especialistas afirmarem que a IA irá acabar com muitas das profissões que existem, o autor argumenta que, assim como outras grandes revoluções ocorridas na história da humanidade, a IA apenas mudará a forma como trabalhamos. As máquinas, aplicativos e softwares tornarão as jornadas de trabalho menores e aumentarão a geração de renda, fazendo com que as pessoas tenham cada vez mais tempo para se dedicarem ao lazer e a atividades ligadas às artes e ao entretenimento.

De forma emocionante, Kai-Fu Lee conta como o diagnóstico de um câncer em estágio avançado fez com que ele repensasse sua relação com o trabalho, seu legado e os próprios rumos da inteligência artificial, se perguntando sobre como a tecnologia poderia ser utilizada para resolver alguns dos maiores problemas que assolam a sociedade neste início de milênio, como a miséria, a desigualdade e a dificuldade de acesso à educação.",292 páginas,Português,Globo Livros; 1ª edição (1 novembro 2019),Kai-Fu Lee,Tecnologia,https://m.media-amazon.com/images/I/81LVeClECoL._SY385_.jpg,978-6580634323,6580634324,https://www.amazon.com.br/Intelig%C3%AAncia-artificial-Kai-Fu-Lee/dp/6580634324/ref=sr_1_3?keywords=inteligencia+artificial&sr=8-3
14,Migrando Sistemas Monolíticos Para Microsserviços: Padrões Evolutivos Para Transformar seu Sistema Monolítico,"Como decompor um sistema monolítico e migrar para uma arquitetura de microsserviços? Como fazer isso enquanto mantém os negócios funcionando como sempre? Como parceiro do livro extremamente popular de Sam Newman, Building Microservices, este novo livro detalha um método comprovado para a transição de um sistema monolítico existente para uma arquitetura de microsserviços. Com vários exemplos ilustrativos, padrões de migração inteligentes e vários conselhos práticos para fazer a transição de seu sistema monolítico para uma plataforma de microsserviços, este guia prático descreve diversos cenários e estratégias para uma migração bem-sucedida, partindo do planejamento inicial e passando por todo o caminho até a decomposição da aplicação e do banco de dados. Você conhecerá diversos padrões e técnicas testados e comprovados, que poderão ser usados quando você fizer a migração de sua arquitetura atual.",288 páginas,Português,Novatec Editora; 1ª edição (31 março 2020),Sam Newman,Tecnologia,https://m.media-amazon.com/images/I/61ym5KnetOL._SY385_.jpg,978-6586057041,6586057043,https://www.amazon.com.br/Migrando-Sistemas-Monol%C3%ADticos-Para-Microsservi%C3%A7os/dp/6586057043/ref=sr_1_3?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=microsservi%C3%A7os&sr=8-3
15,Design Patterns com Java. Projeto Orientado a Objetos Guiado por Padrões,"Não é trivial compreender bem os design patterns. Entender quando aplicá-los é algo que qualquer desenvolvedor deve saber. Nesse livro, você aprenderá com exemplos práticos e bem contextualizados como aplicar os padrões e em quais situações um é mais indicado que o outro. Diferencie as características particulares de cada padrão, crie aplicações que usam o melhor da orientação a objetos em seu favor e desenvolva aplicações que você conseguirá manter para sempre!",305 páginas,Português,Casa do Código; 1ª edição (1 janeiro 2012),Eduardo Guerra,Tecnologia,https://m.media-amazon.com/images/I/61m91VTXCGL._SY385_.jpg,978-8566250114,8566250117,https://www.amazon.com.br/Patterns-Projeto-Orientado-Objetos-Padr%C3%B5es/dp/8566250117/ref=tmm_pap_swatch_0?_encoding=UTF8&sr=8-27
16,Arduino: Guia Avançado Para Projetos,"Arduino - Guia Avançado para Projetos é um livro para os amantes da eletrônica que desejam ir a fundo em seus experimentos envolvendo interfaces com sensores e outros dispositivos. Aborda diversos padrões comerciais e contém exemplos completos de projetos em hardware e software, explorando detalhadamente os recursos oferecidos pela família de processadores AVR.",548 páginas,Português,Editora Interciência; 1ª edição (1 fevereiro 2019),Ricardo Zelenovsky,Tecnologia,https://m.media-amazon.com/images/I/81+vaGGaDNL._SY385_.jpg,978-8571934368,8571934363,https://www.amazon.com.br/Arduino-Guia-Avan%C3%A7ado-Para-Projetos/dp/8571934363/ref=sr_1_4?keywords=arduino&sr=8-4&ufe=app_do%3Aamzn1.fos.6121c6c4-c969-43ae-92f7-cc248fc6181d
17,"Python Fluente: Programação Clara, Concisa e Eficaz","A simplicidade de Python permite que você se torne produtivo rapidamente, porém isso muitas vezes significa que você não estará usando tudo que ela tem a oferecer. Com este guia prático, você aprenderá a escrever um código Python eficiente e idiomático aproveitando seus melhores recursos – alguns deles, pouco conhecidos. O autor Luciano Ramalho apresenta os recursos essenciais da linguagem e bibliotecas de Python mostrando como você pode tornar o seu código mais conciso, mais rápido e mais legível ao mesmo tempo.",800 páginas,Português,Novatec Editora; 1ª edição (15 outubro 2015),Luciano Ramalho,Tecnologia,https://m.media-amazon.com/images/I/71nnLTh7VXL._SY385_.jpg,978-8575224625,857522462X,https://www.amazon.com.br/Python-Fluente-Programa%C3%A7%C3%A3o-Concisa-Eficaz/dp/857522462X/ref=sr_1_3?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=python&sr=8-3&ufe=app_do%3Aamzn1.fos.6121c6c4-c969-43ae-92f7-cc248fc6181d
18,Introdução à Programação com Python: Algoritmos e Lógica de Programação Para Iniciantes,"Este livro é orientado ao iniciante em programação. Os conceitos básicos de programação, como expressões, variáveis, repetições, decisões, listas, dicionários, conjuntos, funções, arquivos, classes, objetos e banco de dados com SQLite 3 são apresentados um a um com exemplos e exercícios. A obra visa a explorar a programação de computadores como ferramenta do dia a dia. Ela pode ser lida durante um curso de introdução à programação de computadores e usada como guia de estudo para autodidatas. Para aproveitamento pleno do conteúdo, apenas conhecimentos básicos de informática, como digitar textos, abrir e salvar arquivos, são suficientes. Todo software utilizado no livro pode ser baixado gratuitamente, sendo executado em Windows, Linux e Mac OS X.",328 páginas,Português,Novatec Editora; 3ª edição (8 janeiro 2019),Nilo Ney Coutinho Menezes,Tecnologia,https://m.media-amazon.com/images/I/71MIG6Z3F2L._SY385_.jpg,978-8575227183,8575227181,https://www.amazon.com.br/Introdu%C3%A7%C3%A3o-Programa%C3%A7%C3%A3o-com-Python-Algoritmos/dp/8575227181/ref=sr_1_1?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=python&sr=8-1
19,"Programação em Baixo Nível: C, Assembly e Execução de Programas na Arquitetura Intel 64","Conheça a linguagem Assembly e a arquitetura do Intel 64, torne-se proficiente em C e entenda como os programas são compilados e executados até o nível das instruções de máquina, permitindo-lhe escrever um código robusto e de alto desempenho. ""Programação em baixo nível"" explica a arquitetura do Intel 64 como resultado da evolução da arquitetura de von Neumann. O livro o ensina a usar a versão mais recente da linguagem C (C11) e a linguagem Assembly desde o básico. Todo o caminho, do código-fonte à execução do programa, incluindo a geração de arquivos-objeto ELF, além das ligações estática e dinâmica, será discutido. Há exemplos de código e exercícios, junto com as melhores práticas de programação. Os recursos de otimização e os limites dos compiladores modernos serão analisados, permitindo-lhe promover um equilíbrio entre a legibilidade do programa e o desempenho. O uso de diversas técnicas para ganho de desempenho, por exemplo, instruções SSE e pre-fetching, será demonstrado. Assuntos relevantes em ciência da computação, como os modelos de computação e as gramáticas formais, também serão tratados, explicando-se sua importância prática. Programação em baixo nível ensina os programadores a: escrever livremente em linguagem Assembly; compreender o modelo de programação do Intel 64; escrever um código robusto e fácil de manter em C11.",576 páginas,Português,Novatec Editora; 1ª edição (17 abril 2018),Igor Zhirkov,Tecnologia,https://m.media-amazon.com/images/I/61qFQdEyNJL._SY385_.jpg,978-8575226674,8575226673,https://www.amazon.com.br/Programa%C3%A7%C3%A3o-Baixo-N%C3%ADvel-Programas-Arquitetura/dp/8575226673/ref=sr_1_1?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=assembly&sr=8-1&ufe=app_do%3Aamzn1.fos.6d798eae-cadf-45de-946a-f477d47705b9
