,titulo,descricao,paginas,idioma,editora,autor,genero,imgLink,isbn13,isbn10,amazonLink
10,Os Despossuídos,"+ Em Os Despossuídos, Ursula levanta questionamentos sobre existencialismo, poder e sistemas políticos. Esses temas, bastante atuais, fazem com que o livro se mantenha importante nos dias de hoje.
+ Esta nova edição em capa dura tem ilustração inédita da artista plástica Marcela Cantuária e projeto gráfico da designer Giovanna Cianelli.
+ Os Despossuídos venceu os prêmio Nebula, em 1974, e os prêmios Hugo e Locus, em 1975.",384 páginas,Português,Editora Aleph; 2ª edição (29 outubro 2019),Ursula K. Le Guin,Ficção Científica,https://m.media-amazon.com/images/I/71imcp7lpuL._SY385_.jpg,978-8576574583,8576574586,https://www.amazon.com.br/Os-Despossu%C3%ADdos-Ursula-K-Guin/dp/8576574586/ref=sr_1_1?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=Os+Despossu%C3%ADdos&sr=8-1
11,O Fim da Eternidade,"Originalmente lançada em 1955, O Fim da Eternidade, de Isaac Asimov, é considerada uma das obras-primas da ficção científica e um dos mais importantes romances sobre viagens no tempo. De forma leve e bem-humorada, Asimov realiza questionamentos ainda bastante contemporâneos, como o comodismo do ser humano, sua evolução perante as outras espécies e a busca incessante do controle sobre a vida dos outros. A obra também propõe reflexões sobre o nosso comportamento diante das necessidades pessoais e as situações que envolvem um bem maior. No romance, o leitor é apresentado a Andrew Harlan, um Eterno, membro de uma organização que monitora e controla o Tempo. Um técnico que lida diariamente com o destino de bilhões de pessoas no mundo inteiro: sua função é iniciar Mudanças de Realidade, ou seja, alterar o curso da História. Condicionado por um treinamento rigoroso e por uma rígida autodisciplina, Harlan aprendeu a deixar as emoções de lado na hora de fazer seu trabalho. Tudo vai bem até o dia em que ele conhece a atraente Noÿs Lambent, uma mulher que faz com que ele passe a rever seus conceitos em nome de algo tão antigo quanto o próprio tempo: o amor. Agora ele terá de arriscar tudo – não apenas seu emprego, mas sua vida a de Noÿs e até mesmo o curso da História. Tido como um dos melhores trabalhos de Asimov, este clássico nos mostra mais uma vez por que o Bom Doutor é considerado o grande mestre da ficção científica moderna.",256 páginas,Português,Editora Aleph; 1ª edição (29 outubro 2007),Isaac Asimov,Ficção Científica,https://m.media-amazon.com/images/I/91SZEFZPDxL._SY385_.jpg,978-8576570417,8576570416,https://www.amazon.com.br/fim-eternidade-Isaac-Asimov/dp/8576570416/ref=tmm_pap_swatch_0?_encoding=UTF8&qid=&sr=
12,A mão esquerda da escuridão,"Escrito há 50 anos, A mão esquerda da escuridão é um marco na literatura de fantasia e ficção científica, vencedor do Hugo e do Nebula, mantendo-se até hoje como uma voz precursora e potente nas discussões da humanidade.
Enviado em uma missão intergaláctica, Genly Ai, um humano, tem como missão persuadir os governantes do planeta Gethen a se unirem a uma comunidade universal. Entretanto, Genly, mesmo depois de anos de estudo, percebe-se despreparado para a situação que lhe aguardava. Ao entrar em contato com uma cultura complexa, rica, quase medieval e com outra abordagem na relação entre os gêneros, Genly perde o controle da situação. É humano demais, e, se não conseguir repensar suas concepções de feminino e masculino, correrá o risco de destruir tanto a missão quanto a si mesmo.",304 páginas,Português,Editora Aleph; 1ª edição (10 agosto 2019),Ursula K. Le Guin,Ficção Científica,https://m.media-amazon.com/images/I/71-g0eKZDtS._SY385_.jpg,978-8576574484,8576574489,https://www.amazon.com.br/m%C3%A3o-esquerda-escurid%C3%A3o-marcador-exclusivo/dp/8576574489/ref=sr_1_1?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=A+M%C3%A3o+Esquerda+da+Escurid%C3%A3o&sr=8-1
13,1984,"Publicada originalmente em 1949, a distopia futurista 1984 é um dos romances mais influentes do século XX, um inquestionável clássico moderno. Lançada poucos meses antes da morte do autor, é uma obra magistral que ainda se impõe como uma poderosa reflexão ficcional sobre a essência nefasta de qualquer forma de poder totalitário.

Winston, herói de 1984, último romance de George Orwell, vive aprisionado na engrenagem totalitária de uma sociedade completamente dominada pelo Estado, onde tudo é feito coletivamente, mas cada qual vive sozinho. Ninguém escapa à vigilância do Grande Irmão, a mais famosa personificação literária de um poder cínico e cruel ao infinito, além de vazio de sentido histórico. De fato, a ideologia do Partido dominante em Oceânia não visa nada de coisa alguma para ninguém, no presente ou no futuro. O'Brien, hierarca do Partido, é quem explica a Winston que ""só nos interessa o poder em si. Nem riqueza, nem luxo, nem vida longa, nem felicidade: só o poder pelo poder, poder puro"".
Quando foi publicada em 1949, essa assustadora distopia datada de forma arbitrária num futuro perigosamente próximo logo experimentaria um imenso sucesso de público. Seus principais ingredientes - um homem sozinho desafiando uma tremenda ditadura; sexo furtivo e libertador; horrores letais - atraíram leitores de todas as idades, à esquerda e à direita do espectro político, com maior ou menor grau de instrução. À parte isso, a escrita translúcida de George Orwell, os personagens fortes, traçados a carvão por um vigoroso desenhista de personalidades, a trama seca e crua e o tom de sátira sombria garantiram a entrada precoce de",416 páginas,Português,Companhia das Letras; 1ª edição (21 julho 2009),George Orwell,Ficção Científica,https://m.media-amazon.com/images/I/819js3EQwbL._SY385_.jpg,978-8535914849,8535914846,https://www.amazon.com.br/1984-George-Orwell/dp/8535914846/ref=sr_1_3?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=1984&sr=8-3
14,Encontro com Rama,"+ Arthur C. Clarke é um dos principais autores da ficção científica. Seus livros já venderam mais de cem milhões de exemplares pelo mundo, e a Aleph já publicou obras como 2001: Uma Odisseia no Espaço, O Fim da Infância e Poeira Lunar
+Vencedor dos Prêmios Hugo e Nebula, Encontro com Rama é uma das mais fascinantes jornadas de descobrimento da ficção científica.

Após a terrível colisão de um meteorito contra o continente europeu, líderes mundiais e cientistas criaram um sistema de monitoramento para evitar que essas catástrofes voltassem a acontecer.
Quase cinquenta anos depois, a humanidade acompanha, alarmada, a chegada de um novo objeto de proporções inimagináveis que avança na direção de nosso Sol. Uma expedição é enviada para explorar o que se imagina ser um meteoro colossal, mas que se revela uma sofisticada construção, repleta de enigmas que desafiam a mente e os conceitos humanos.",288 páginas,Português,Editora Aleph; 3ª edição (4 fevereiro 2020),Arthur C. Clarke,Ficção Científica,https://m.media-amazon.com/images/I/81mWUH0+20L._SY385_.jpg,978-8576574798,8576574799,https://www.amazon.com.br/Encontro-com-Rama-Arthur-Clarke/dp/8576574799/ref=sr_1_1?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=Encontro+com+Rama&sr=8-1
15,"Eu, Robô","Um dos maiores clássicos da literatura de ficção científica, Eu, Robô, escrito pelo Bom Doutor, Isaac Asimov foi publicado originalmente em 1950. O livro serviu como base para o roteiro do filme homônimo, no qual Will Smith interpreta o protagonista, o detetive Del Spooner. Porém, a obra é bastante diferente da história apresentada nas telonas. Eu, Robô é um conjunto de nove contos que relatam a evolução dos autômatos através do tempo. É neste livro que são apresentadas as célebres Três Leis da Robótica: os princípios que regem o comportamento dos robôs e que mudaram definitivamente a percepção que se tem sobre eles na própria ciência. Eu, Robô inicia-se com uma entrevista com a Dra. Susan Calvin, uma psicóloga roboticista da U.S Robots & Mechanical. Ela é o fio condutor da obra, responsável por contar os relatos de seu trabalho e também da evolução dos autômatos. Algumas histórias são mais leves e emocionantes como Robbie, o robô baba, outras, como Razão, levam o leitor a refletir sobre religião e até sobre sua condição humana. A edição traz um posfácio escrito pelo próprio autor sobre sua história de amor com os robôs, tão comuns em sua obra.",320 páginas,Português,Editora Aleph; 1ª edição (24 novembro 2014),Isaac Asimov,Ficção Científica,https://m.media-amazon.com/images/I/61ooZHl+CTL._SY385_.jpg,978-8576572008,8576572001,https://www.amazon.com.br/Eu-Robo-Isaac-Asimov/dp/8576572001/ref=sr_1_1?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=Eu%2C+Rob%C3%B4&sr=8-1
16,Snow Crash,"Quando você vive num muquifo, sempre há o Metaverso.

Em um futuro distópico, os Estados Unidos como o conhecemos não existe mais. Após o colapso do governo, o país se dividiu em cidades-estado controladas por corporações privadas, mafiosos e mercenários de todo tipo. Para escapar desse mundo de caos, as pessoas passam a maior parte do tempo no Metaverso, uma realidade virtual onde vivem como avatares.
Hiro Protagonist é hacker e trabalha para uma organização mafiosa como entregador de pizza, mas, no Metaverso, é um príncipe samurai. Quando surge um novo e misterioso vírus chamado Snow Crash, que ameaça tanto o mundo físico quanto o cibernético, Hiro parte em uma jornada virtual para encontrá-lo e destruí-lo.
Publicado pela primeira vez no Brasil em 2008, Snow Crash foi eleito pela revista Time um dos cem melhores romances de língua inglesa. Retrato assustador de uma sociedade pós-moderna decadente, este livro irônico e ousado combina, a um só tempo, cenários improváveis e totalmente verossímeis.",552 páginas,Português,Editora Aleph; 3ª edição (5 julho 2022),Neal Stephenson,Ficção Científica,https://m.media-amazon.com/images/I/81-cV2SuxxL._SY385_.jpg,978-8576575047,8576575043,https://www.amazon.com.br/Snow-Crash-Neal-Stephenson/dp/8576575043/ref=sr_1_1?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=Snow+Crash&sr=8-1
17,Harry Potter e a Pedra Filosofal: 1,"Harry Potter é um garoto cujos pais, feiticeiros, foram assassinados por um poderosíssimo bruxo quando ele ainda era um bebê. Ele foi levado, então, para a casa dos tios que nada tinham a ver com o sobrenatural. Pelo contrário. Até os 10 anos, Harry foi uma espécie de gata borralheira: maltratado pelos tios, herdava roupas velhas do primo gorducho, tinha óculos remendados e era tratado como um estorvo. No dia de seu aniversário de 11 anos, entretanto, ele parece deslizar por um buraco sem fundo, como o de Alice no país das maravilhas, que o conduz a um mundo mágico. Descobre sua verdadeira história e seu destino: ser um aprendiz de feiticeiro até o dia em que terá que enfrentar a pior força do mal, o homem que assassinou seus pais. O menino de olhos verde, magricela e desengonçado, tão habituado à rejeição, descobre, também, que é um herói no universo dos magos. Potter fica sabendo que é a única pessoa a ter sobrevivido a um ataque do tal bruxo do mal e essa é a causa da marca em forma de raio que ele carrega na testa. Ele não é um garoto qualquer, ele sequer é um feiticeiro qualquer ele é Harry Potter, símbolo de poder, resistência e um líder natural entre os sobrenaturais. A fábula, recheada de fantasmas, paredes que falam, caldeirões, sapos, unicórnios, dragões e gigantes, não é, entretanto, apenas um passatempo.",208 páginas,Português,Rocco; 1ª edição (19 agosto 2017),J.K. Rowling,Ficção Científica,https://m.media-amazon.com/images/I/81ibfYk4qmL._SY385_.jpg,978-8532530783,8532530788,https://www.amazon.com.br/Harry-Potter-Pedra-Filosofal-Rowling/dp/8532530788/ref=sr_1_5?keywords=harry+potter&sr=8-5
18,Harry Potter e a Câmara Secreta: 2,"Depois de férias aborrecidas na casa dos tios trouxas, está na hora de Harry Potter voltar a estudar. Coisas acontecem, no entanto, para dificultar o regresso de Harry. Persistente e astuto, o herói não se deixa intimidar pelos obstáculos e, com a ajuda dos fiéis amigos Weasley, começa o ano letivo na Escola de Magia e Bruxaria de Hogwarts. As novidades não são poucas. Novos colegas, novos professores, muitas e boas descobertas e um grande e perigosos desafio. Alguém ou alguma coisa ameaça a segurança e a tranquilidade dos membros de Hogwarts.",224 páginas,Português,Rocco; 1ª edição (19 agosto 2017),Lia Wyler,Ficção Científica,https://m.media-amazon.com/images/I/81jbivNEVML._SY385_.jpg,978-8532530790,8532530796,https://www.amazon.com.br/Harry-Potter-C%C3%A2mara-Secreta-Rowling/dp/8532530796/ref=pd_bxgy_sccl_1/137-7733330-2035121?content-id=amzn1.sym.758f3509-df88-4265-806c-565a738dc05d&pd_rd_i=8532530796&psc=1
19,Harry Potter e o Prisioneiro de Azkaban: 3,"As aulas estão de volta à Hogwarts e Harry Potter não vê a hora de embarcar no expresso a vapor que o levará de volta à escola de bruxaria. Mais uma vez suas férias na rua dos Alfeneiros foi triste e solitária. Com muita ação, humor e magia, 'Harry Potter e o prisioneiro de Azkaban' traz de volta o gigante atrapalhado Rúbeo Hagrid, o sábio diretor Alvo Dumbledore, a exigente professora de transformação Minerva MacGonagall e o novo mestre Lupin, que guarda grandes surpresas para Harry.",288 páginas,Português,Rocco; 1ª edição (19 agosto 2017),Lia Wyler,Ficção Científica,https://m.media-amazon.com/images/I/81u+ljPVifL._SY385_.jpg,978-8532530806,853253080X,https://www.amazon.com.br/Harry-Potter-Prisioneiro-Azkaban-Rowling/dp/853253080X/ref=pd_bxgy_sccl_2/137-7733330-2035121?content-id=amzn1.sym.758f3509-df88-4265-806c-565a738dc05d&pd_rd_i=853253080X&psc=1
20,Harry Potter e o Cálice de Fogo: 4,"Nesta aventura, o feiticeiro cresceu e está com 14 anos. O início do ano letivo de Harry Potter reserva muitas emoções, mágicas, e acontecimentos inesperados, além de um novo torneio em que os alunos de Hogwarts terão de demonstrar todas as habilidade mágicas e nãomágicas que vêm adquirindo ao longo de suas vidas. Harry é escolhido pelo Cálice de Fogo para competir como um dos campeões de Hogwarts, tendo ao lado seus fiéis amigos. Muitos desafios, feitiços, poções e confusões estão reservados para Harry. Além disso, ele terá que lidar ainda com os problemas comuns da adolescência amor, amizade, aceitação e rejeição.",480 páginas,Português,Rocco; 1ª edição (19 agosto 2017),Lia Wyler,Ficção Científica,https://m.media-amazon.com/images/I/81nTLN-kz7L._SY385_.jpg,978-8532530813,8532530818,https://www.amazon.com.br/Harry-Potter-C%C3%A1lice-Fogo-Rowling/dp/8532530818/ref=sr_1_20?keywords=harry+potter&sr=8-20
21,Harry Potter e a Ordem da Fênix: 5,"Harry não é mais um garoto. Aos 15 anos, continua sofrendo a rejeição dos Dursdley, sua estranha família no mundo dos 'trouxas'. Também continua contando com Rony Weasley e Hermione Granger, seus melhores amigos em Hogwarts, para levar adiante suas investigações e aventuras. Mas o bruxinho começa a sentir e descobrir coisas novas, como o primeiro amor e a sexualidade. Nos volumes anteriores, J. K. Rowling mostrou como Harry foi transformado em celebridade no mundo da magia por ter derrotado, ainda bebê, Voldemort, o todopoderoso bruxo das trevas que assassinou seus pais. Neste quinto livro da saga, o protagonista, numa crise típica da adolescência, tem ataques de mau humor com a perseguição da imprensa, que o segue por todos os lugares e chega a inventar declarações que nunca deu. Harry vai enfrentar as investidas de Voldemort sem a proteção de Dumbledore, já que o diretor de Hogwarts é afastado da escola. E vai ser sem a ajuda de seu protetor que o jovem herói enfrentará descobertas sobre a personalidade controversa de seu pai, Tiago Potter, e a morte de alguém muito próximo.",640 páginas,Português,Rocco; 1ª edição (19 agosto 2017),J.K. Rowling,Ficção Científica,https://m.media-amazon.com/images/I/81d6ESyPZwL._SY385_.jpg,978-8532530820,8532530826,https://www.amazon.com.br/Harry-Potter-Ordem-F%C3%AAnix-Rowling/dp/8532530826/ref=d_pd_sbs_sccl_3_3/137-7733330-2035121?content-id=amzn1.sym.bea0fc06-3165-4dd4-812e-d3e4a9459f44&pd_rd_i=8532530826&psc=1
22,Harry Potter E O Enigma Do Príncipe,"'Harry Potter e o enigma do príncipe' dá continuidade à saga do jovem bruxo Harry Potter a partir do ponto em que o livro anterior parou - o momento em que fica provado que o poder de Voldemort e dos Comensais da Morte, seus seguidores, cresce mais a cada dia, em meio à batalha entre o bem e o mal. A onda de terror provocada pelo Lorde das Trevas estaria afetando, até mesmo, o mundo dos trouxas (não-bruxos), e sendo agravada pela ação dos dementadores, criaturas mágicas aterrorizantes que 'sugam' a esperança e a felicidade das pessoas. Harry, que acabou de completar 16 anos, parte rumo ao sexto ano na Escola de Magia e Bruxaria de Hogwarts, animado e ao mesmo tempo apreensivo com a perspectiva de ter aulas particulares com o professor Dumbledore, o diretor da escola e o bruxo mais respeitado em toda comunidade mágica. Harry, longe de ser aquele menino magricela que vivia no quarto debaixo da escada na casa dos tios trouxas, é um dos principais nomes entre aqueles que lutam contra Voldemort, e se vê cada vez mais isolado à medida que os rumores de que ele é O Eleito - o único capaz de derrotar o Lorde das Trevas, se espalham pelo mundo dos bruxos. Dois atentados contra a vida de estudantes, a certeza de Harry quanto ao envolvimento de Draco Malfoy com os Comensais da Morte e o comportamento de Snape, suspeito como sempre, adicionam ainda mais tensão ao já inquietante período. Apesar de tudo isso, Harry e os amigos são adolescentes típicos - dividem tarefas escolares e dormitórios bagunçados, correm das aulas para os treinos de quadribol, e namoram.",510 páginas,Português,Rocco (1 janeiro 2005),J. K. Rowling,Ficção Científica,https://m.media-amazon.com/images/I/712hKicZ7UL._SY385_.jpg,978-8532523105,8532523102,https://www.amazon.com.br/Harry-Potter-Enigma-Do-Pr%C3%ADncipe/dp/8532523102/ref=d_pd_sbs_sccl_3_6/137-7733330-2035121?content-id=amzn1.sym.bea0fc06-3165-4dd4-812e-d3e4a9459f44&pd_rd_i=8532523102&psc=1
23,Harry Potter e as Relíquias da Morte: 7,"Harry Potter e as relíquias da morte', de J.K. Rowling, é o sétimo e último livro da série. Voldemorte está cada vez mais forte e Harry Potter precisa encontrar e aniquilar as Horcruxes para enfraquecer o lorde e poder enfrentálo. Nessa busca desenfreada, contando apenas com os amigos Rony e Hermione, Harry descobre as Relíquias da Morte, que serão úteis na batalha do bem contra o mal.",512 páginas,Português,Rocco; 1ª edição (19 agosto 2017),Lia Wyler,Ficção Científica,https://m.media-amazon.com/images/I/81rvO7xcJOL._SY385_.jpg,978-8532530844,8532530842,https://www.amazon.com.br/Harry-Potter-as-Rel%C3%ADquias-Morte/dp/8532530842/ref=d_pd_sbs_sccl_3_4/137-7733330-2035121?content-id=amzn1.sym.bea0fc06-3165-4dd4-812e-d3e4a9459f44&pd_rd_i=8532530842&psc=1
