,titulo,descricao,paginas,idioma,editora,autor,genero,imgLink,isbn13,isbn10,amazonLink
10,Uma breve história do tempo,"Uma das mentes mais geniais do mundo moderno, Stephen Hawking guia o leitor na busca por respostas a algumas das maiores dúvidas da humanidade: Qual a origem do universo? Ele é infinito? E o tempo? Sempre existiu, ou houve um começo e haverá um fim? Existem outras dimensões além das três espaciais? E o que vai acontecer quando tudo terminar?
Com ilustrações criativas e texto lúcido e bem-humorado, Hawking desvenda desde os mistérios da física de partículas até a dinâmica que movimenta centenas de milhões de galáxias por todo o universo. Para o iniciado,",256 páginas,Português,Intrínseca; 1ª edição (13 janeiro 2015),Stephen Hawking,Ciências,https://m.media-amazon.com/images/I/61AaXcdHXKS._SY385_.jpg,978-8580576467,8580576466,https://www.amazon.com.br/Uma-Breve-Hist%C3%B3ria-do-Tempo/dp/8580576466/ref=sr_1_1?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=Uma+Breve+Hist%C3%B3ria+do+Tempo&sr=8-1
11,O gene,"Nesta aclamada obra, Siddhartha Mukherjee, vencedor do prêmio Pulitzer de não ficção de 2011, combina ciência, história social e relatos pessoais para nos contar a extraordinária narrativa de uma das mais importantes descobertas dos tempos modernos. Ao investigar a hereditariedade, Mukherjee irá mostrar como a genética influencia nossas vidas, personalidades, identidades, destinos e escolhas. Ao longo do livro, Mukherjee explora também a própria origem e família, com seu trágico histórico de doenças mentais, nos mostrando como a ciência pode saltar rapidamente dos laboratórios para a vida. Um livro extraordinário sobre uma das mais importantes - e urgentes - questões da humanidade.",680 páginas,Português,Companhia das Letras; 1ª edição (27 outubro 2016),Siddhartha Mukherjee,Ciências,https://m.media-amazon.com/images/I/71hEMQCouiS._SY385_.jpg,978-8535928075,8535928073,https://www.amazon.com.br/gene-Siddhartha-Mukherjee/dp/8535928073/ref=tmm_pap_swatch_0?_encoding=UTF8&qid=&sr=8-1
12,Sapiens - Uma Breve História da Humanidade,"O que possibilitou ao Homo sapiens subjugar as demais espécies? O que nos torna capazes das mais belas obras de arte, dos avanços científicos mais impensáveis e das mais horripilantes guerras? Nossa capacidade imaginativa. Somos a única espécie que acredita em coisas que não existem na natureza, como Estados, dinheiro e direitos humanos. Partindo dessa ideia, Yuval Noah Harari, doutor em história pela Universidade de Oxford, aborda em Sapiens a história da humanidade sob uma perspectiva inovadora. Explica que o capitalismo é a mais bem-sucedida religião, que o imperialismo é o sistema político mais lucrativo, que nós, humanos modernos, embora sejamos muito mais poderosos que nossos ancestrais, provavelmente não somos mais felizes. Um relato eletrizante sobre a aventura de nossa extraordinária espécie ? de primatas insignificantes a senhores do mundo.",464 páginas,Português,L&PM; 1ª edição (1 janeiro 2015),Yuval Noah Harari,Ciências,https://m.media-amazon.com/images/I/81BTkpMrLYL._SY385_.jpg,978-8525432186,8525432180,https://www.amazon.com.br/Sapiens-Uma-Breve-Hist%C3%B3ria-Humanidade/dp/8525432180/ref=sr_1_2?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=Sapiens%3A+Uma+Breve+Hist%C3%B3ria+da+Humanidade&sr=8-2
13,O universo elegante,"No interior mais fundo da matéria, vibram cordas como as de um instrumento musical. Tudo o que existe e acontece no mundo, no universo, surge das vibrações dessas entidades centenas de bilhões e bilhões de vezes menores do que o núcleo de um átomo.Hoje, no mundo inteiro, físicos e matemáticos trabalham febrilmente com a idéia de ""cordas"". Ela pode levar à chamada ""teoria do campo unificado"" com que Einstein sonhava. Pode ser a chave para compatibilizar os dois pilares antagônicos da física moderna: a relatividade geral - as ""leis do grande"" - e a mecânica quântica - as ""leis do pequeno"". A promessa dessa teoria revolucionária é justamente esta: explicar por um mesmo princípio a enormidade dos espaços siderais e as ínfimas proporções do microcosmo.Desde que Stephen Hawking publicou a sua Breve história do tempo, nenhum cientista havia agitado tanto o cenário editorial da divulgação científica como Brian Greene, um físico jovem e brilhante que magnetiza seus alunos na Columbia University. Com um uso criativo de metáforas e analogias, traduzindo o pensamento físico-matemático para o plano da lógica visual, Greene monta o passo-a-passo da teoria das supercordas e mostra por que ela abriu para a ciência a perspectiva de alcançar uma compreensão final sobre a estrutura e o funcionamento do universo.",480 páginas,Português,Companhia das Letras; 1ª edição (29 março 2001),Brian Greene,Ciências,https://m.media-amazon.com/images/I/61r1T8rcXAL._SY385_.jpg,978-8535900989,8535900985,https://www.amazon.com.br/universo-elegante-Brian-Greene/dp/8535900985/ref=sr_1_1?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=O+Universo+Elegante&sr=8-1
14,A Origem das Espécies - Charles Darwin,"O livro que apresentou a teoria da evolução, de Charles Darwin, e redefiniu para sempre a ciência moderna.
Esta nova tradução de A origem das espécies destaca-se por ter sido elaborada com base na primeira edição do texto, de 1859, que depois passaria por alterações do próprio autor em consequência das inúmeras pressões da imprensa e da comunidade científica do século XIX.",480 páginas,Português,Edipro; 1ª edição (1 fevereiro 2018),Charles Darwin,Ciências,https://m.media-amazon.com/images/I/71IIZESq-uL._SY385_.jpg,978-8552100157,8552100150,https://www.amazon.com.br/Origem-das-Esp%C3%A9cies-Charles-Darwin/dp/8552100150/ref=sr_1_1?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=A+Origem+das+Esp%C3%A9cies&sr=8-1
15,A dança do universo,"O que aconteceu no momento da Criação? Houve um minuto determinado em que o Universo que nos rodeia surgiu? Essas são questões tão antigas como a própria humanidade. Muitos procuram a resposta nos mitos e na religião. Outros nas teorias científicas. Em A dança do Universo, o físico Marcelo Gleiser mostra em linguagem clara que esses dois enfoques não são tão distantes quanto imaginamos, apresentando versões de diversas culturas para o mistério da Criação, até desembocar na explicação da ciência moderna para o surgimento do Universo. Prêmio Jabuti 1998 de Melhor Ensaio e Biografia",416 páginas,Português,Companhia de Bolso; Edição de bolso (9 junho 2006),Marcelo Gleiser,Ciências,https://m.media-amazon.com/images/I/81Uo3I2ULHL._SY385_.jpg,978-8535908480,853590848X,https://www.amazon.com.br/dan%C3%A7a-do-universo-Marcelo-Gleiser/dp/853590848X/ref=sr_1_1?keywords=a+dan%C3%A7a+do+universo&sr=8-1
16,Breves respostas para grandes questões,"Em textos inéditos, o físico e autor do best-seller Uma breve história do tempo nos presenteia com seus pensamentos finais sobre as maiores perguntas da humanidade.
Desde Einstein, o mundo não via um cientista tão reverenciado quanto Stephen Hawking. Com seu trabalho revolucionário em física e cosmologia, ele encantou milhões de leitores com a origem do universo e a natureza dos buracos negros, além de inspirar todos pela coragem e determinação que mostrou em sua luta contra a doença do neurônio motor. Agora, nesta reunião póstuma de seus trabalhos, podemos conhecer seus pensamentos a respeito das grandes questões que povoam nossas mentes desde os primórdios e daquelas mais prementes na atualidade.",256 páginas,Português,Intrínseca; 1ª edição (14 novembro 2018),Stephen Hawking,Ciências,https://m.media-amazon.com/images/I/71XIYr2AXTL._SY385_.jpg,978-8551004319,855100431X,https://www.amazon.com.br/Breves-respostas-para-grandes-quest%C3%B5es/dp/855100431X/ref=sr_1_1?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=Breves+Respostas+para+Grandes+Quest%C3%B5es&sr=8-1
17,A Estrutura das revoluções científicas,"Thomas S. Kuhn iniciou sua carreira universitária como físico teórico. As circunstâncias levaram-no ao estudo da história e a preocupações de natureza filosófica. Trajetória incomum, que este livro de certa forma sintetiza e que explica seu caráter polivalente. Múltiplas áreas, desde as exatas até as humanas, convergem para as agudas análises, que levam o autor, questionando dogmas consagrados, a ver o progresso da ciência não tanto como o acúmulo gradativo de novos dados gnosiológicos, e sim como um processo contraditório marcado pelas revoluções do pensamento científico. Tais revoluções são definidas como o momento de desintegração do tradicional numa disciplina, forçando a comunidade de profissionais a ela ligados a reformular o conjunto de compromissos em que se baseia a prática dessa ciência. Um dos aspectos mais interessantes de A Estrutura das Revoluções Científicas é a análise do papel dos fatores exteriores à ciência na erupção desses momentos de crise e transformação do pensamento científico e da prática correspondente.",324 páginas,Português,Perspectiva; 13ª edição (1 janeiro 2017),Thomas S. Kuhn,Ciências,https://m.media-amazon.com/images/I/71CIKXCX8QL._SY385_.jpg,978-8527301114,8527301113,https://www.amazon.com.br/Estrutura-das-Revolu%C3%A7%C3%B5es-Cientificas/dp/8527301113/ref=sr_1_1?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=A+Estrutura+das+Revolu%C3%A7%C3%B5es+Cient%C3%ADficas&sr=8-1
18,O mundo assombrado pelos demônios,"Assombrado com as explicações pseudocientíficas e místicas que ocupam cada vez mais os espaços dos meios de comunicação, Carl Sagan reafirma o poder positivo e benéfico da ciência e da tecnologia para iluminar os dias de hoje e recuperar os valores da racionalidade. Como todos os livros do autor, O mundo assombrado pelos demônios está cheio de informações surpreendentes, transmitidas com humor e graça. Seus ataques muitas vezes divertidos à falsa ciência, às concepções excêntricas e aos irracionalismos do momento são acompanhados por lembranças da infância, quando seus pais o colocaram em contato pela primeira vez com os dois modelos de pensamento fundamentais para o método científico: o ceticismo e a admiração.",512 páginas,Português,Companhia de Bolso; Edição de bolso (15 maio 2006),Carl Sagan,Ciências,https://m.media-amazon.com/images/I/9165ewWUEPL._SY385_.jpg,978-8535908343,853590834X,https://www.amazon.com.br/mundo-assombrado-pelos-dem%C3%B4nios/dp/853590834X/ref=sr_1_1?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=O+Mundo+Assombrado+pelos+Dem%C3%B4nios&sr=8-1
19,A história da física,"A História da Física Da Filosofia ao enigma da matéria negra Este livro trata desde o desenvolvimento dos filósofos naturais do mundo antigo até experimentos de ponta em mecânica quântica. A física é a ciência que liga todas as outras com o objetivo de explicar a natureza do universo, desde as menores partículas subatômicas a vastas galáxias e a própria natureza do espaço-tempo. Ela representa o esforço intelectual humano em sua maior ambição. Este livro traça a trajetória das tentativas da humanidade em ler o livro do universo, aprendendo e usando a linguagem da matemática descrita pelo cientista renascentista Galileu Galilei. A História da Física também descreve os gigantes da história da ciência, desde Arquimedes, passando por Newton e Galileu, até Curie, Einstein e Hawking.",224 páginas,Português,M.Books; 1ª edição (1 janeiro 2013),Anne Rooney,Ciências,https://m.media-amazon.com/images/I/81uSAUVIHzL._SY385_.jpg,978-8576802174,8576802171,https://www.amazon.com.br/Hist%C3%B3ria-F%C3%ADsica-Filosofia-Enigma-Mat%C3%A9ria/dp/8576802171/ref=sr_1_1?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=A+Hist%C3%B3ria+da+F%C3%ADsica&sr=8-1
